year,sst_article_fit_degC,sst_december_fit_degC,diff_december_minus_article_degC
2002,28.6374,29.049854000000003,0.4124540000000039
2003,28.687600000000003,29.073889,0.3862889999999979
2004,28.737800000000007,29.097924,0.3601239999999919
2005,28.787999999999997,29.121959000000004,0.3339590000000072
2006,28.8382,29.145994,0.30779400000000123
2007,28.888400000000004,29.170029,0.28162899999999524
2008,28.938600000000008,29.194064000000004,0.25546399999999636
2009,28.988799999999998,29.218099000000002,0.22929900000000458
2010,29.039,29.242134,0.2031339999999986
2011,29.089200000000005,29.266169000000005,0.1769689999999997
2012,29.13940000000001,29.290204000000003,0.15080399999999372
2013,29.1896,29.314239,0.12463900000000194
2014,29.239800000000002,29.338274000000006,0.09847400000000306
2015,29.290000000000006,29.362309000000003,0.07230899999999707
2016,29.34020000000001,29.386344,0.04614399999999108
2017,29.3904,29.410379,0.019978999999999303
2018,29.440600000000003,29.434414000000004,-0.006185999999999581
2019,29.490800000000007,29.458449,-0.03235100000000557
2020,29.540999999999997,29.482484,-0.05851599999999735
2021,29.5912,29.506519000000004,-0.08468099999999623
2022,29.641400000000004,29.530554000000002,-0.11084600000000222
2023,29.691600000000008,29.554589,-0.1370110000000082
2024,29.741799999999998,29.578624000000005,-0.16317599999999288
2025,29.792,29.602659000000003,-0.18934099999999887
